iter	F1	Logloss
0	0.7079550075	0.6741658566
1	0.708606402	0.6578557321
2	0.708606402	0.64375301
3	0.708606402	0.6316582078
4	0.7086413735	0.6213865021
5	0.708606402	0.6124935434
6	0.708606402	0.6048359745
7	0.708606402	0.598208318
8	0.7086413735	0.592554506
9	0.70877098	0.587566196
10	0.7087517934	0.5831642877
11	0.7087394412	0.5794368814
12	0.708954618	0.5759833245
13	0.7095867456	0.573099046
14	0.7109516229	0.5704149308
15	0.7108436986	0.5678695685
16	0.7106215238	0.5658245562
17	0.7106763585	0.563811148
18	0.7106272624	0.5619767172
19	0.7104942781	0.560288688
20	0.710988446	0.5588511447
21	0.7115644786	0.5575814914
22	0.7152599941	0.55635209
23	0.7175236716	0.5553007761
24	0.7167114455	0.554414785
25	0.7178277535	0.553498322
26	0.7177726517	0.5526458689
27	0.7193451744	0.5518861795
28	0.7204846285	0.551193068
29	0.7208482453	0.550579167
30	0.7203380764	0.5500394135
31	0.7201562416	0.5494600573
32	0.7191964765	0.5489265476
33	0.719432197	0.5484574327
34	0.7201843466	0.5480483464
35	0.7200042899	0.5476993921
36	0.7205421477	0.5473159567
37	0.7207564353	0.546928094
38	0.7208766477	0.5465791021
39	0.7208853636	0.5462671094
40	0.7208722908	0.5459847276
41	0.7210012864	0.5456962262
42	0.7218029013	0.5454233283
43	0.7217239995	0.5451579508
44	0.7218535959	0.5449767346
45	0.7218238253	0.5447375831
46	0.7218773413	0.5444944759
47	0.7218849456	0.5443191871
48	0.7222964666	0.5441094641
49	0.7228085175	0.5439575825
50	0.722495456	0.5437596396
51	0.7228992944	0.5435990944
52	0.7226868304	0.5434375578
53	0.7230428163	0.54327199
54	0.7232622106	0.5431451179
55	0.7229655743	0.5430156147
56	0.7228677512	0.5428748312
57	0.7228664565	0.542725823
58	0.7228413373	0.5426144457
59	0.723292797	0.5424820462
60	0.7231085812	0.5423697616
61	0.72280139	0.5422479444
62	0.7228162087	0.5421349057
63	0.7226558324	0.542042206
64	0.7228503461	0.5419440653
65	0.7229617749	0.5418576986
66	0.7230164881	0.5417742313
67	0.7229823624	0.5416658802
68	0.7231336504	0.5415745701
69	0.7230576106	0.5414763939
70	0.7230087077	0.5413888465
71	0.7230962365	0.5413201796
72	0.7230904865	0.5412410793
73	0.7231336504	0.5411579815
74	0.7231870892	0.5410524047
75	0.723251963	0.5409961065
76	0.7236156743	0.5409021243
77	0.7237474629	0.5408096912
78	0.7240108922	0.5407441383
79	0.7241959162	0.5406861459
80	0.7240007476	0.5406405846
81	0.7242686312	0.5405582376
82	0.7241765868	0.5404994504
83	0.7241370104	0.5404373651
84	0.7242060315	0.5403707408
85	0.7244775402	0.5402769351
86	0.7246229814	0.5402127601
87	0.7246910615	0.5401273563
88	0.7246082802	0.5400749626
89	0.7246910615	0.5400068382
90	0.7247444418	0.5399504718
91	0.724618341	0.5398985088
92	0.724856571	0.5398421886
93	0.7247838617	0.5397736242
94	0.7247892434	0.539707897
95	0.7248286347	0.5396534879
96	0.7248139553	0.5395863205
97	0.7246585574	0.5395493192
98	0.724789972	0.5394582281
99	0.7247752914	0.5394162604
100	0.7249406682	0.5393361704
101	0.7252659362	0.5392691265
102	0.7250866436	0.5392052795
103	0.7250479846	0.5391338045
104	0.7252231845	0.5390448154
105	0.7251066098	0.538991651
106	0.7253731343	0.5389436074
107	0.7252905427	0.5388879693
108	0.7254703406	0.5387910167
109	0.7257033248	0.5387236019
110	0.7258635843	0.5386616115
111	0.725776381	0.5386239873
112	0.7257957118	0.5385658559
113	0.7257617729	0.5385066315
114	0.725882917	0.5384345192
115	0.7260430812	0.5383953821
116	0.7261397529	0.5383614386
117	0.7261930124	0.538315591
118	0.7261784288	0.5382548194
119	0.7260573133	0.5382157807
120	0.7262171088	0.5381697566
121	0.7262364503	0.5381238674
122	0.7264063041	0.5380865278
123	0.7264256429	0.5380598116
124	0.7264208705	0.5380090587
125	0.7264402087	0.5379796923
126	0.7265419118	0.5379544255
127	0.7265127918	0.5378716843
128	0.7264788882	0.5378431788
129	0.7264643237	0.5377939406
130	0.7265710255	0.5377498629
131	0.7266097048	0.5377167089
132	0.7266483882	0.5376500037
133	0.7267209711	0.5375995943
134	0.726706421	0.5375751841
135	0.7266579697	0.5375291141
136	0.7267548646	0.5374919721
137	0.726812906	0.5374557065
138	0.7269145793	0.5374015985
139	0.7271227043	0.5373284334
140	0.7272872425	0.5373036191
141	0.7274662693	0.5372500807
142	0.7274033855	0.5371900694
143	0.7274130452	0.5371353592
144	0.7275339951	0.5370715864
145	0.7277854634	0.537025847
146	0.727664556	0.536994929
147	0.7277225089	0.5369553677
148	0.7277999468	0.5368987671
149	0.7278386719	0.5368505721
150	0.7280174477	0.5368304618
151	0.7279642534	0.536788841
152	0.7280706421	0.5367602459
153	0.7280319149	0.5367195233
154	0.7281527578	0.5366663231
155	0.7280753071	0.5366322159
156	0.7280221241	0.5365869999
157	0.7277514761	0.5365392307
158	0.7277563506	0.5365002699
159	0.727717637	0.5364658793
160	0.7277225089	0.5364438211
161	0.7280753071	0.5363981439
162	0.7282348561	0.5363558221
