iter	Passed	Remaining
0	6	3596
1	12	3521
2	19	3788
3	26	3815
4	33	3886
5	40	3812
6	46	3748
7	52	3732
8	58	3690
9	64	3685
10	70	3644
11	76	3614
12	83	3616
13	90	3639
14	97	3644
15	103	3630
16	110	3626
17	116	3606
18	122	3583
19	129	3602
20	135	3575
21	142	3603
22	203	4894
23	217	5012
24	226	5011
25	235	4999
26	244	4975
27	251	4937
28	258	4890
29	266	4850
30	271	4790
31	278	4734
32	284	4686
33	290	4634
34	297	4602
35	302	4551
36	308	4508
37	315	4478
38	321	4433
39	327	4399
40	334	4371
41	340	4340
42	346	4305
43	353	4277
44	359	4246
45	365	4219
46	373	4210
47	380	4191
48	386	4161
49	391	4129
50	398	4106
51	403	4076
52	410	4061
53	416	4035
54	422	4013
55	428	3985
56	436	3978
57	442	3960
58	449	3947
59	456	3930
60	462	3911
61	468	3891
62	473	3866
63	480	3848
64	487	3843
65	493	3823
66	500	3810
67	506	3790
68	513	3778
69	519	3761
70	527	3756
71	534	3746
72	540	3733
73	547	3722
74	553	3703
75	560	3693
76	566	3678
77	574	3672
78	580	3662
79	588	3655
80	595	3643
81	602	3634
82	608	3622
83	617	3622
84	623	3611
85	629	3596
86	635	3581
87	642	3569
88	648	3558
89	655	3548
90	661	3534
91	667	3521
92	674	3510
93	681	3501
94	687	3486
95	694	3479
96	701	3472
97	708	3464
98	716	3461
99	723	3452
100	729	3438
101	736	3429
102	742	3416
103	749	3407
104	756	3401
105	763	3392
106	770	3384
107	776	3370
108	783	3363
109	789	3350
110	795	3339
111	801	3326
112	806	3313
113	814	3306
114	820	3294
115	827	3288
116	835	3283
117	841	3274
118	848	3266
119	856	3261
120	862	3251
121	870	3244
122	876	3233
123	883	3226
124	888	3214
125	895	3206
126	902	3196
127	909	3188
128	916	3181
129	922	3173
130	930	3167
131	936	3158
132	944	3154
133	951	3144
134	958	3138
135	965	3132
136	973	3125
137	980	3119
138	987	3111
139	994	3105
140	1000	3093
141	1006	3082
142	1012	3072
143	1019	3064
144	1027	3061
145	1034	3054
146	1041	3047
147	1048	3039
148	1054	3030
149	1062	3025
150	1070	3019
151	1075	3008
152	1082	3000
153	1089	2992
154	1096	2984
155	1103	2977
156	1110	2970
157	1116	2960
158	1122	2951
159	1129	2942
160	1135	2934
161	1143	2929
162	1153	2928
163	1161	2924
164	1168	2918
165	1174	2908
166	1181	2899
167	1187	2890
168	1194	2884
169	1202	2878
170	1207	2868
171	1213	2857
172	1220	2849
173	1226	2841
174	1233	2833
175	1239	2822
176	1245	2814
177	1252	2808
178	1258	2798
179	1266	2793
180	1273	2786
181	1280	2780
182	1286	2770
183	1294	2763
184	1300	2756
185	1307	2749
186	1313	2738
187	1321	2734
188	1328	2727
189	1335	2720
190	1342	2713
191	1349	2705
192	1356	2698
193	1363	2691
194	1370	2684
195	1377	2677
196	1384	2670
197	1390	2660
198	1396	2652
199	1403	2645
200	1410	2637
201	1416	2628
202	1422	2621
203	1429	2614
204	1435	2604
205	1441	2596
206	1448	2589
207	1455	2582
208	1461	2573
209	1468	2565
210	1475	2558
211	1481	2550
212	1488	2543
213	1494	2534
214	1499	2525
215	1506	2517
216	1513	2510
217	1519	2502
218	1526	2494
219	1532	2486
220	1540	2481
221	1547	2474
222	1554	2467
223	1563	2464
224	1571	2458
225	1578	2451
226	1585	2445
227	1593	2438
228	1600	2431
229	1607	2424
230	1613	2416
231	1619	2407
232	1625	2400
233	1632	2392
234	1638	2384
235	1644	2376
236	1650	2368
237	1657	2361
238	1664	2354
239	1671	2347
240	1679	2342
241	1685	2333
242	1692	2325
243	1698	2318
244	1706	2312
245	1712	2304
246	1719	2296
247	1725	2289
248	1732	2282
249	1738	2273
250	1745	2267
251	1751	2258
252	1757	2250
253	1763	2242
254	1770	2235
255	1776	2227
256	1784	2222
257	1790	2214
258	1798	2208
259	1805	2201
260	1813	2196
261	1819	2187
262	1826	2180
263	1832	2172
264	1838	2164
265	1844	2156
266	1851	2149
267	1859	2144
268	1866	2137
269	1872	2129
270	1879	2122
271	1884	2113
272	1891	2106
273	1897	2098
274	1904	2091
275	1911	2084
276	1918	2077
277	1924	2069
278	1932	2063
279	1938	2056
280	1944	2048
281	1951	2041
282	1958	2034
283	1965	2028
284	1972	2021
285	1979	2014
286	1986	2007
287	1993	2000
288	1999	1992
289	2006	1986
290	2012	1977
291	2019	1970
292	2025	1963
293	2032	1956
294	2039	1949
295	2045	1941
296	2051	1933
297	2057	1926
298	2064	1919
299	2070	1912
300	2077	1904
301	2084	1897
302	2092	1892
303	2099	1884
304	2105	1877
305	2112	1870
306	2119	1864
307	2125	1856
308	2133	1850
309	2139	1843
310	2147	1836
311	2153	1828
312	2159	1821
313	2166	1814
314	2173	1808
315	2179	1800
316	2186	1792
317	2192	1785
318	2200	1779
319	2206	1771
320	2213	1765
321	2220	1758
322	2227	1751
323	2233	1743
324	2239	1736
325	2245	1728
326	2252	1721
327	2259	1715
328	2267	1709
329	2274	1702
330	2282	1696
331	2288	1688
332	2296	1682
333	2304	1676
334	2310	1668
335	2319	1663
336	2326	1656
337	2332	1649
338	2339	1642
339	2345	1634
340	2350	1627
341	2358	1620
342	2365	1613
343	2372	1606
344	2378	1599
345	2384	1591
346	2391	1585
347	2397	1577
